Id_code,PoolID,Foundation_spp,Day_Night,Before_After,Removal_Control,Group,Time_Point,Sampling_Day,Sampling_time,Wind_Speed.m.s,DO_mg_L,DO_p,Conductivity,Salinity,Temp.pool,Temp.in,date_triscal,mVolts,pH.pre,Notes
D_14_4_BC,14,Mytilus,Day,Before,Control,Before_Control,4,7082019,13:19,0.8,6.03,73.9,56.6,37.6,15.5,20.3,20190710,-28.6,7.377942732,
D_15_4_BC,15,Mytilus,Day,Before,Removal,Before_Removal,4,7082019,13:20,0.8,7.79,103.4,53.4,35.3,19.3,22.091,20190710,-53.9,7.799310787,
D_16_4_BC,16,Mytilus,Day,Before,Removal,Before_Removal,4,7082019,13:23,0.8,6.73,90.9,52.7,34.5,19.3,21.821,20190710,-31.1,7.411739647,
D2_Ocean_4_BC,Ocean,Ocean,Day,Before,Ocean,Before_Ocean,4,7092019,13:08,3,10.1,117.3,52.5,34.5,12.9,14.473,20190710,-66.5,8.076172521,
D_17_4_BC,17,Mytilus,Day,Before,Removal,Before_Removal,4,7092019,13:14,3,9.84,125.9,51.9,34.2,17.4,17.046,20190710,-57.5,7.898894367,
D_18_4_BC,18,Phyllospadix,Day,Before,Control,Before_Control,4,7092019,13:20,3.1,9.37,115.8,52.9,34.9,16,16.223,20190710,-57,7.896435599,
D_19_4_BC,19,Mytilus,Day,Before,Control,Before_Control,4,7092019,13:17,3.1,10.11,125.2,52.5,34.7,15.7,15.148,20190710,-55.9,7.885355197,
D_20_4_BC,20,Phyllospadix,Day,Before,Control,Before_Control,4,7092019,13:24,3.1,17.31,213,52.6,34.7,15.5,15.66,20190710,-88.3,8.446887001,raining harder
D_21_4_BC,21,Phyllospadix,Day,Before,Removal,Before_Removal,4,7092019,13:27,2.9,11.66,146.9,52.1,34.3,17.5,17.178,20190710,-84.5,8.366580913,
D_22_4_BC,22,Phyllospadix,Day,Before,Removal,Before_Removal,4,7092019,13:28,2.9,10.53,131.4,52.8,34.9,16.6,16.703,20190710,-67.7,8.078847506,
D_23_4_BC,23,Mytilus,Day,Before,Removal,Before_Removal,4,7092019,13:33,2.9,8.1,102.9,51.9,34.2,17.6,17.201,20190710,-42.6,7.639092871,5 extra pumps (10mL)
D_24_4_BC,24,Mytilus,Day,Before,Removal,Before_Removal,4,7092019,13:35,3.6,8.92,111.2,52.1,34.3,16.4,16.552,20190710,-43,7.650397473,
D_25_4_BC,25,Mytilus,Day,Before,Control,Before_Control,4,7092019,13:37,3,8.63,66.2,52.9,35,14.8,15.52,20190710,-29.6,7.423398789,
D_26_4_BC,26,Phyllospadix,Day,Before,Removal,Before_Removal,4,7092019,13:40,3,5.25,68.1,53.1,35.1,15.1,16.189,20190710,-73.1,8.177125109,
D_27_4_BC,27,Phyllospadix,Day,Before,Control,Before_Control,4,7092019,13:43,3,9.07,107.6,53,35,14.2,15.324,20190710,-55.8,7.882284236,
D_28_4_BC,28,Phyllospadix,Day,Before,Removal,Before_Removal,4,7092019,13:45,3.6,9.83,121.6,53,35,15.4,15.784,20190710,-86.1,8.407339123,
D_29_4_BC,29,Phyllospadix,Day,Before,Control,Before_Control,4,7092019,13:46,3.6,15.39,196.6,52.9,34.9,17.2,17.178,20190710,-108.1,8.776248802,
D_30_4_BC,30,Mytilus,Day,Before,Control,Before_Control,4,7092019,13:49,3.6,7.46,90.2,52.4,34.6,15.8,15.858,20190710,-35.9,7.531256175,
D_31_4_BC,31,Mytilus,Day,Before,Control,Before_Control,4,7092019,13:51,3.6,6.7,83.5,51.9,34.2,16.4,15.575,20190710,-30,7.430054937,
D_32_4_BC,32,Mytilus,Day,Before,Removal,Before_Removal,4,7092019,13:52,3.6,7.67,93,52.6,34.7,14.9,15.168,20190710,-38.3,7.577559796,
D1_Ocean_5_BC,Ocean,Ocean,Day,Before,Ocean,Before_Ocean,5,7082019,13:31,0.5,8.41,101.2,52.4,34.5,13.3,19.315,20190710,-67.4,8.052311924,
D_1_5_BC,1,Phyllospadix,Day,Before,Control,Before_Control,5,7082019,13:39,0.3,11.89,148.4,53.4,35.2,16.1,21.496,20190710,-71.3,8.101290966,
D_2_5_BC,2,Phyllospadix,Day,Before,Removal,Before_Removal,5,7082019,13:41,0.3,14.83,196.4,52.7,34.8,19,22.445,20190710,-93.5,8.471875429,
