Id_code,PO_ug_L,NO2N_ug_L,NN_ug_L,NH4_ug_L
D_18_1_AI,50,3.54,172.2,104.4
D_19_1_AI,52.2,10.86,183.4,101.6
D_20_1_AI,41.4,8.82,154.4,102.6
D_21_1_AI,28.6,6.96,64.4,61.8
D_22_1_AI,35,-1.61,124.4,65.6
D_23_1_AI,44.6,7.03,369,75
D_24_1_AI,73,6.32,330,127.6
D_25_1_AI,84,18.58,318,334
D_26_1_AI,30.4,9.6,169.8,41
D_27_1_AI,49.6,0.456,202,82.8
D_28_1_AI,27.4,6.48,84,14.14
D_29_1_AI,38.3,-0.571,86.1,25
D_30_1_AI,458,50.6,564,3740
D_31_1_AI,73.8,8.24,340,244
D_32_1_AI,45.8,6.42,230,55.4
D1_Ocean_2_AI,51.2,10.02,234,30.4
D_1_2_AI,#N/A,#N/A,#N/A,#N/A
D_2_2_AI,42.8,9.52,106,57.6
D_3_2_AI,44.6,4.5,55,32.8
D_4_2_AI,25,11.66,89.6,60.2
D_5_2_AI,20.6,-1.64,34.2,48
D_6_2_AI,24,15.7,74.3,92.8
D_7_2_AI,37.8,9.36,76.6,45.8
D_8_2_AI,39.8,2.86,100,76.1
D_9_2_AI,57.4,7.52,181.4,230
D_10_2_AI,85.2,12.64,278,156.4
D_11_2_AI,43.4,9.2,242,83.8
D_12_2_AI,65,10.32,640,244
D_13_2_AI,74.2,13.84,224,228
D_14_2_AI,62.4,8.76,256,220
D_15_2_AI,34.2,8.72,67.6,49.4
D_16_2_AI,#N/A,#N/A,#N/A,#N/A
D2_Ocean_2_AI,38.4,1.66,262,27.6
D_17_2_AI,65.8,14.2,98,107.8
D_18_2_AI,47.8,0.744,158,176.2
D_19_2_AI,66.4,11.68,206,193.2
D_20_2_AI,43.8,7.68,104,125.2
D_21_2_AI,30.8,3.42,34.4,94.6
D_22_2_AI,36.2,-0.673,79.4,60.8
D_23_2_AI,46.4,24.5,263,98
D_24_2_AI,43.6,-0.835,141.6,93.4
D_25_2_AI,91.6,19.7,326,458
D_26_2_AI,30.4,0.434,124.2,73
D_27_2_AI,43.4,10.26,151.4,128.8
D_28_2_AI,18.52,1.364,30.8,21.6
D_29_2_AI,30,-1.74,50.2,53.5
D_30_2_AI,336,60.4,572,4500
D_31_2_AI,197.2,17.46,732,598
D_32_2_AI,50.4,9.7,226,71
D1_Ocean_3_AI,54,14.84,244,42.4
D_1_3_AI,16.94,17.1,249,38.2
D_2_3_AI,43.2,5.54,97,67.6
D_3_3_AI,37,6.28,92.6,42.2
D_4_3_AI,#N/A,#N/A,#N/A,#N/A
D_5_3_AI,21.4,1.824,38.2,78.6
D_6_3_AI,34.6,8.94,79.4,106.4
D_7_3_AI,43,10.7,162,88.6
D_8_3_AI,50,5.61,109,99
D_9_3_AI,58.4,6.08,199.4,252
D_10_3_AI,106.6,16.64,336,222
D_11_3_AI,44,2.68,218,85.8
D_12_3_AI,72.2,10.62,212,200
D_13_3_AI,81,14.62,254,306
D_14_3_AI,96.4,16.78,354,380
D_15_3_AI,50.8,5.16,71.8,46
D_16_3_AI,47.4,13.8,410,94
D2_Ocean_3_AI,56.4,10.16,232,26
D_17_3_AI,60.6,6.6,94,138.6
D_18_3_AI,48.4,2.34,135.4,154
D_19_3_AI,73.2,13.32,218,232
D_20_3_AI,39.4,5.14,108.8,93.4
D_21_3_AI,32.8,4.28,29,94.4
D_22_3_AI,34,6.22,54.6,66.2
D_23_3_AI,31.6,17.3,266,104.4
D_24_3_AI,29.8,-13.6,-13.8,89.8
D_25_3_AI,124.8,13.34,348,556
D_26_3_AI,34.2,5.8,111,80.8
D_27_3_AI,36.8,9,105.8,118.4
D_28_3_AI,18.98,5.44,24.8,34.4
D_29_3_AI,27.7,2.16,42.4,62.4
D_30_3_AI,256,81.4,758,5360
D_31_3_AI,96.4,25.2,406,388
D_32_3_AI,51.6,8.56,204,78.6
D1_Ocean_4_AI,50.6,15.24,206,45.2
D_1_4_AI,23.6,24.2,340,46.2
D_2_4_AI,42.2,10.02,145.4,95.8
D_3_4_AI,48.2,4.76,78.8,50.8
D_4_4_AI,22.8,7.8,45,84.8
D_5_4_AI,21.2,-0.581,20.6,86.2
D_6_4_AI,36.8,17.9,73.1,92
D_7_4_AI,45,-5.82,66,106
D_8_4_AI,40,-30.9,75.9,101
D_9_4_AI,67.8,18.42,185.6,292
D_10_4_AI,120.4,12.8,340,248
D_11_4_AI,46.4,9.7,192,105.2
D_12_4_AI,63.2,12.7,164.4,204
D_13_4_AI,83,13.32,236,312
